2001,60,0
2517,62,0
3019,64,0
3534,65,0
4051,64,0
4552,62,0
5070,60,0
6083,64,0
6586,65,0
7086,67,0
7603,69,0
8117,67,0
8620,65,0
9120,64,0
10120,67,0
11136,65,0
12151,64,0
13152,62,0
14152,60,0
15153,60,0
16153,60,0
17168,60,0
50256,64,0
50756,64,0
50839,64,0
50920,64,0
51004,64,0
51087,64,0
51171,64,0
51256,64,0
51337,64,0
51421,64,0
51502,64,0
51587,64,0
51672,64,0
51756,64,0
51838,65,0
52338,65,0
52422,65,0
52504,65,0
52587,65,0
52670,65,0
52753,65,0
52837,65,0
52923,65,0
53005,65,0
53089,65,0
53173,65,0
53254,65,0
53339,65,0
53422,65,0
53504,65,0
53588,65,0
53672,65,0
53756,65,0
53837,65,0
53922,65,0
54003,65,0
54086,65,0
54170,67,0
54672,67,0
54754,67,0
54839,67,0
54923,67,0
55006,67,0
55088,67,0
55170,67,0
55256,67,0
55340,67,0
55420,67,0
55504,67,0
55589,67,0
55672,67,0
55756,67,0
55839,67,0
55922,67,0
56004,67,0
56090,67,0
56173,67,0
56254,67,0
56339,67,0
56421,67,0
56505,67,0
56590,67,0
56670,67,0
56757,67,0
56839,67,0
