millis,pitch,latency_ms
2493,60,2
2994,62,2
3494,64,1
4010,65,16
4511,64,16
5008,62,11
5509,60,11
6510,64,9
7011,65,9
7510,67,7
8010,69,6
8509,67,3
9011,65,5
9510,64,2
10526,60,15
11576,60,13
12576,60,10
13575,60,7
14577,60,7
14827,60,5
15077,62,5
15327,62,5
15576,64,2
15827,64,3
16076,65,2
16326,65,1
16578,64,2
17077,62,0
17595,60,17
