millis,pitch,latency_ms
1211,60,16
1712,62,16
2212,64,15
2711,65,14
3210,64,12
3710,62,10
4213,60,12
5212,64,9
5713,65,7
6212,67,6
6711,69,3
7212,67,4
7711,65,1
8212,64,1
9228,60,14
10278,60,12
11280,60,11
12276,60,6
13279,60,5
13529,60,6
13777,62,2
14027,62,3
14277,64,1
14526,64,1
14780,65,3
15030,65,3
15279,64,1
15779,62,1
16297,60,17
