millis,pitch,latency_ms
1287,60,3
1804,62,17
2302,64,14
2801,65,13
3301,64,11
3802,62,12
4303,60,11
5301,64,7
5802,65,6
6302,67,5
6803,69,5
7302,67,4
7802,65,1
8303,64,1
9304,60,0
10369,60,12
11370,60,12
12367,60,6
13369,60,5
13619,60,4
13868,62,4
14119,62,4
14369,64,2
14619,64,1
14869,65,2
15120,65,1
15370,64,2
15870,62,0
16387,60,16
