millis,pitch,latency_ms
1559,60,2
2075,62,14
2576,64,15
3076,65,15
3574,64,11
4075,62,10
4574,60,8
5575,64,6
6074,65,5
6574,67,2
7077,69,4
7576,67,3
8090,65,16
8590,64,13
9591,60,13
10643,60,12
11637,60,2
12660,60,14
13653,60,14
13889,60,0
14140,62,1
14408,62,17
14651,64,7
14902,64,7
15153,65,11
15404,65,11
15654,64,10
16146,62,1
16646,60,0
