millis,pitch,latency_ms
1071,60,2
1574,62,5
2074,64,3
2574,65,2
3073,64,0
3589,62,14
4091,60,15
5090,64,12
5590,65,12
6091,67,10
6591,69,10
7089,67,5
7590,65,6
8091,64,5
9089,60,1
10140,60,1
11156,60,13
12157,60,13
13156,60,9
13407,60,9
13657,62,9
13905,62,6
14157,64,7
14406,64,6
14657,65,7
14906,65,4
15158,64,5
15658,62,5
16157,60,2
