millis,pitch,latency_ms
1246,60,14
1744,62,11
2247,64,13
2734,65,0
3251,64,15
3740,62,4
4239,60,1
5240,64,0
5758,65,15
6257,67,14
6756,69,12
7257,67,10
7758,65,10
8255,64,6
9257,60,7
10306,60,4
11308,60,3
12322,60,14
13325,60,14
13574,60,14
13825,62,14
14075,62,13
14324,64,12
14575,64,12
14823,65,10
15074,65,9
15325,64,10
15823,62,6
16325,60,8
