millis,pitch,latency_ms
906,60,7
1406,62,7
1908,64,9
2406,65,6
2907,64,5
3406,62,3
3907,60,3
4922,64,16
5423,65,15
5922,67,13
6422,69,11
6923,67,12
7424,65,11
7922,64,9
8924,60,7
9973,60,5
10974,60,3
11973,60,0
12990,60,13
13239,60,13
13490,62,12
13740,62,12
13989,64,10
14242,64,12
14490,65,11
14741,65,11
14991,64,11
15490,62,8
15990,60,8
