millis,pitch,latency_ms
2541,60,1
3042,62,0
3558,64,17
4056,65,13
4557,64,12
5058,62,12
5559,60,12
6559,64,10
7058,65,8
7557,67,5
8057,69,5
8559,67,5
9059,65,4
9559,64,2
10559,60,0
11626,60,15
12624,60,11
13625,60,8
14625,60,6
14875,60,6
15125,62,5
15375,62,6
15623,64,2
15876,64,4
16126,65,4
16376,65,3
16625,64,1
17126,62,1
17643,60,17
