millis,pitch,latency_ms
1518,60,15
2019,62,15
2518,64,13
3019,65,13
3518,64,11
4019,62,10
4518,60,8
5518,64,6
6018,65,5
6518,67,2
7019,69,3
7536,67,17
8035,65,16
8535,64,15
9534,60,12
10585,60,10
11586,60,8
12584,60,4
13586,60,4
13834,60,1
14085,62,2
14335,62,2
14586,64,2
14836,64,1
15104,65,18
15353,65,16
15603,64,15
16102,62,14
16603,60,13
